sim_id,num_rounds,num_devices,x,y,bitlist_interval,move,uniform,broadcastType
3876554,3000,180,1320.0,1320.0,10000,False,True,simple
4374825,3000,120,1320.0,1320.0,10000,False,True,simple
199679,3000,140,1320.0,1320.0,10000,False,True,simple
8298948,3000,160,1320.0,1320.0,10000,False,True,simple
3559877,3000,180,1320.0,1320.0,10000,False,True,simple
3218939,3000,110,1320.0,1320.0,10000,False,True,simple
934231,3000,110,1320.0,1320.0,10000,False,True,simple
8546606,3000,110,1320.0,1320.0,10000,False,True,simple
6471224,3000,220,1320.0,1320.0,10000,False,True,simple
6134819,3000,240,1320.0,1320.0,10000,False,True,simple
8935479,3000,260,1320.0,1320.0,10000,False,True,simple
9898888,3000,280,1320.0,1320.0,10000,False,True,simple
8899170,3000,130,1320.0,1320.0,10000,False,True,simple
9180084,3000,150,1320.0,1320.0,10000,False,True,simple
6188274,3000,190,1320.0,1320.0,10000,False,True,simple
6084821,3000,250,1320.0,1320.0,10000,False,True,simple
157183,3000,270,1320.0,1320.0,10000,False,True,simple
9302416,3000,290,1320.0,1320.0,10000,False,True,simple
5943978,3000,510,1320.0,1320.0,10000,False,True,simple
3572578,3000,810,1320.0,1320.0,10000,False,True,simple
6859849,3000,520,1320.0,1320.0,10000,False,True,simple
8299051,3000,820,1320.0,1320.0,10000,False,True,simple
5790500,3000,530,1320.0,1320.0,10000,False,True,simple
9520245,3000,830,1320.0,1320.0,10000,False,True,simple
4675880,3000,540,1320.0,1320.0,10000,False,True,simple
206161,3000,840,1320.0,1320.0,10000,False,True,simple
3348277,3000,550,1320.0,1320.0,10000,False,True,simple
5235897,3000,850,1320.0,1320.0,10000,False,True,simple
7085592,3000,560,1320.0,1320.0,10000,False,True,simple
4416667,3000,570,1320.0,1320.0,10000,False,True,simple
5771220,3000,580,1320.0,1320.0,10000,False,True,simple
3544638,3000,590,1320.0,1320.0,10000,False,True,simple
3779729,3000,700,1320.0,1320.0,10000,False,True,simple
5241844,3000,1000,1320.0,1320.0,10000,False,True,simple
6246873,3000,1500,1320.0,1320.0,10000,False,True,simple
6372453,3000,1600,1320.0,1320.0,10000,False,True,simple
2303463,3000,1700,1320.0,1320.0,10000,False,True,simple
1808625,3000,1800,1320.0,1320.0,10000,False,True,simple
4160738,3000,1900,1320.0,1320.0,10000,False,True,simple
8916517,3000,5500,1320.0,1320.0,10000,False,True,smart
324309,3000,610,1320.0,1320.0,10000,False,True,simple
4091921,3000,620,1320.0,1320.0,10000,False,True,simple
7548474,3000,630,1320.0,1320.0,10000,False,True,simple
9329783,3000,640,1320.0,1320.0,10000,False,True,simple
3480284,3000,650,1320.0,1320.0,10000,False,True,simple
9102343,3000,660,1320.0,1320.0,10000,False,True,simple
3923262,3000,6000,1320.0,1320.0,10000,False,True,smart
4992879,3000,670,1320.0,1320.0,10000,False,True,simple
9449451,3000,680,1320.0,1320.0,10000,False,True,simple
8220908,3000,690,1320.0,1320.0,10000,False,True,simple
5688487,3000,6500,1320.0,1320.0,10000,False,True,smart
6640285,3000,3600,1320.0,1320.0,10000,False,True,smart
7304023,3000,5100,1320.0,1320.0,10000,False,True,smart
256768,3000,3700,1320.0,1320.0,10000,False,True,smart
7067854,3000,3800,1320.0,1320.0,10000,False,True,smart
4222159,3000,5200,1320.0,1320.0,10000,False,True,smart
3634504,3000,3900,1320.0,1320.0,10000,False,True,smart
8004794,3000,5300,1320.0,1320.0,10000,False,True,smart
2475467,3000,5600,1320.0,1320.0,10000,False,True,smart
5912821,3000,7000,1320.0,1320.0,10000,False,True,smart
8539517,3000,5700,1320.0,1320.0,10000,False,True,smart
9043179,3000,5800,1320.0,1320.0,10000,False,True,smart
3316190,3000,7500,1320.0,1320.0,10000,False,True,smart
7973781,3000,5900,1320.0,1320.0,10000,False,True,smart
8572849,3000,10500,1320.0,1320.0,10000,False,True,smart
1808473,3000,11000,1320.0,1320.0,10000,False,True,smart
7863186,3000,11500,1320.0,1320.0,10000,False,True,smart
8400063,3000,12000,1320.0,1320.0,10000,False,True,smart
7186610,3000,11600,1320.0,1320.0,10000,False,True,smart
4334675,3000,11700,1320.0,1320.0,10000,False,True,smart
2710936,3000,11800,1320.0,1320.0,10000,False,True,smart
9569936,3000,11900,1320.0,1320.0,10000,False,True,smart
7700330,3000,200,1320.0,1320.0,2000,False,True,smart
2687069,3000,300,1320.0,1320.0,2000,False,True,smart
6256966,3000,400,1320.0,1320.0,2000,False,True,smart
6233587,3000,200,1320.0,1320.0,2000,False,True,smart
3072890,3000,300,1320.0,1320.0,2000,False,True,smart
6636666,3000,400,1320.0,1320.0,2000,False,True,smart
6239954,3000,900,1320.0,1320.0,2000,False,True,smart
2754487,3000,1300,1320.0,1320.0,2000,False,True,smart
3751608,3000,1400,1320.0,1320.0,2000,False,True,smart
9600025,3000,1500,1320.0,1320.0,2000,False,True,smart
4760087,3000,1500,1320.0,1320.0,2000,False,True,smart
6524138,3000,1900,1320.0,1320.0,2000,False,True,smart
5661212,3000,2100,1320.0,1320.0,2000,False,True,smart
7980809,3000,2200,1320.0,1320.0,2000,False,True,smart
6952753,3000,1600,1320.0,1320.0,2000,False,True,smart
8273838,3000,2200,1320.0,1320.0,2000,False,True,smart
